Year,Region,Household Type,Measure,Value,Flags
"2006","Northland Region","Couple only","Median Wage and Salary Income",690,
"2007","Northland Region","Couple only","Median Wage and Salary Income",806,
"2008","Northland Region","Couple only","Median Wage and Salary Income",580,
"2009","Northland Region","Couple only","Median Wage and Salary Income",780,
"2010","Northland Region","Couple only","Median Wage and Salary Income",750,
"2011","Northland Region","Couple only","Median Wage and Salary Income",596,
"2012","Northland Region","Couple only","Median Wage and Salary Income",595,
"2013","Northland Region","Couple only","Median Wage and Salary Income",719,
"2014","Northland Region","Couple only","Median Wage and Salary Income",800,
"2015","Northland Region","Couple only","Median Wage and Salary Income",722,
"2016","Northland Region","Couple only","Median Wage and Salary Income",1037,
"2017","Northland Region","Couple only","Median Wage and Salary Income",863,
"2018","Northland Region","Couple only","Median Wage and Salary Income",880,
"1998","Northland Region","Couple only","Median Self-employment Income",0,
"1999","Northland Region","Couple only","Median Self-employment Income",0,
"2000","Northland Region","Couple only","Median Self-employment Income",0,
"2001","Northland Region","Couple only","Median Self-employment Income",0,
"2002","Northland Region","Couple only","Median Self-employment Income",0,
"2003","Northland Region","Couple only","Median Self-employment Income",0,
"2004","Northland Region","Couple only","Median Self-employment Income",0,
"2005","Northland Region","Couple only","Median Self-employment Income",0,
"2006","Northland Region","Couple only","Median Self-employment Income",0,
"2007","Northland Region","Couple only","Median Self-employment Income",0,
"2008","Northland Region","Couple only","Median Self-employment Income",0,
"2009","Northland Region","Couple only","Median Self-employment Income",0,
"2010","Northland Region","Couple only","Median Self-employment Income",0,
"2011","Northland Region","Couple only","Median Self-employment Income",0,
"2012","Northland Region","Couple only","Median Self-employment Income",0,
"2013","Northland Region","Couple only","Median Self-employment Income",0,
"2014","Northland Region","Couple only","Median Self-employment Income",0,
"2015","Northland Region","Couple only","Median Self-employment Income",0,
"2016","Northland Region","Couple only","Median Self-employment Income",0,
"2017","Northland Region","Couple only","Median Self-employment Income",0,
"2018","Northland Region","Couple only","Median Self-employment Income",0,
"1998","Northland Region","Couple only","Median Government Transfer Income",0,
"1999","Northland Region","Couple only","Median Government Transfer Income",0,
"2000","Northland Region","Couple only","Median Government Transfer Income",0,
"2001","Northland Region","Couple only","Median Government Transfer Income",0,
"2002","Northland Region","Couple only","Median Government Transfer Income",0,
"2003","Northland Region","Couple only","Median Government Transfer Income",0,
"2004","Northland Region","Couple only","Median Government Transfer Income",0,
"2005","Northland Region","Couple only","Median Government Transfer Income",0,
"2006","Northland Region","Couple only","Median Government Transfer Income",0,
"2007","Northland Region","Couple only","Median Government Transfer Income",0,
"2008","Northland Region","Couple only","Median Government Transfer Income",0,
"2009","Northland Region","Couple only","Median Government Transfer Income",0,
"2010","Northland Region","Couple only","Median Government Transfer Income",0,
"2011","Northland Region","Couple only","Median Government Transfer Income",0,
"2012","Northland Region","Couple only","Median Government Transfer Income",0,
"2013","Northland Region","Couple only","Median Government Transfer Income",0,
"2014","Northland Region","Couple only","Median Government Transfer Income",0,
"2015","Northland Region","Couple only","Median Government Transfer Income",0,
"2016","Northland Region","Couple only","Median Government Transfer Income",0,
"2017","Northland Region","Couple only","Median Government Transfer Income",0,
"2018","Northland Region","Couple only","Median Government Transfer Income",0,
"1998","Northland Region","Couple only","Number of households (000)",10.3,
"1999","Northland Region","Couple only","Number of households (000)",11.5,
"2000","Northland Region","Couple only","Number of households (000)",12.6,
"2001","Northland Region","Couple only","Number of households (000)",13.7,
"2002","Northland Region","Couple only","Number of households (000)",10.6,
"2003","Northland Region","Couple only","Number of households (000)",12.1,
"2004","Northland Region","Couple only","Number of households (000)",13.2,
"2005","Northland Region","Couple only","Number of households (000)",13.7,
"2006","Northland Region","Couple only","Number of households (000)",14.8,
"2007","Northland Region","Couple only","Number of households (000)",13.9,
"2008","Northland Region","Couple only","Number of households (000)",14.9,
"2009","Northland Region","Couple only","Number of households (000)",13.2,
"2010","Northland Region","Couple only","Number of households (000)",13.5,
"2011","Northland Region","Couple only","Number of households (000)",14.5,
"2012","Northland Region","Couple only","Number of households (000)",14.1,
"2013","Northland Region","Couple only","Number of households (000)",14.1,
"2014","Northland Region","Couple only","Number of households (000)",12.9,
"2015","Northland Region","Couple only","Number of households (000)",14.3,
"2016","Northland Region","Couple only","Number of households (000)",14.4,
"2017","Northland Region","Couple only","Number of households (000)",14.6,
"2018","Northland Region","Couple only","Number of households (000)",14.8,
"1998","Auckland Region","Couple only","Median Wage and Salary Income",662,
"1999","Auckland Region","Couple only","Median Wage and Salary Income",710,
"2000","Auckland Region","Couple only","Median Wage and Salary Income",720,
"2001","Auckland Region","Couple only","Median Wage and Salary Income",796,
"2002","Auckland Region","Couple only","Median Wage and Salary Income",832,
"2003","Auckland Region","Couple only","Median Wage and Salary Income",825,
"2004","Auckland Region","Couple only","Median Wage and Salary Income",940,
"2005","Auckland Region","Couple only","Median Wage and Salary Income",950,
"2006","Auckland Region","Couple only","Median Wage and Salary Income",962,
"2007","Auckland Region","Couple only","Median Wage and Salary Income",1138,
"2008","Auckland Region","Couple only","Median Wage and Salary Income",1112,
"2009","Auckland Region","Couple only","Median Wage and Salary Income",1208,
"2010","Auckland Region","Couple only","Median Wage and Salary Income",1162,
"2011","Auckland Region","Couple only","Median Wage and Salary Income",1458,
"2012","Auckland Region","Couple only","Median Wage and Salary Income",1313,
"2013","Auckland Region","Couple only","Median Wage and Salary Income",1225,
"2014","Auckland Region","Couple only","Median Wage and Salary Income",1484,
"2015","Auckland Region","Couple only","Median Wage and Salary Income",1635,
"2016","Auckland Region","Couple only","Median Wage and Salary Income",1525,
"2017","Auckland Region","Couple only","Median Wage and Salary Income",1534,
"2018","Auckland Region","Couple only","Median Wage and Salary Income",1705,
"1998","Auckland Region","Couple only","Median Self-employment Income",0,
"1999","Auckland Region","Couple only","Median Self-employment Income",0,
"2000","Auckland Region","Couple only","Median Self-employment Income",0,
"2001","Auckland Region","Couple only","Median Self-employment Income",0,
"2002","Auckland Region","Couple only","Median Self-employment Income",0,
"2003","Auckland Region","Couple only","Median Self-employment Income",0,
"2004","Auckland Region","Couple only","Median Self-employment Income",0,
"2005","Auckland Region","Couple only","Median Self-employment Income",0,
"2006","Auckland Region","Couple only","Median Self-employment Income",0,
"2007","Auckland Region","Couple only","Median Self-employment Income",0,
"2008","Auckland Region","Couple only","Median Self-employment Income",0,
"2009","Auckland Region","Couple only","Median Self-employment Income",0,
"2010","Auckland Region","Couple only","Median Self-employment Income",0,
"2011","Auckland Region","Couple only","Median Self-employment Income",0,
"2012","Auckland Region","Couple only","Median Self-employment Income",0,
"2013","Auckland Region","Couple only","Median Self-employment Income",0,
"2014","Auckland Region","Couple only","Median Self-employment Income",0,
"2015","Auckland Region","Couple only","Median Self-employment Income",0,
"2016","Auckland Region","Couple only","Median Self-employment Income",0,
"2017","Auckland Region","Couple only","Median Self-employment Income",0,
"2018","Auckland Region","Couple only","Median Self-employment Income",0,
"1998","Auckland Region","Couple only","Median Government Transfer Income",0,
"1999","Auckland Region","Couple only","Median Government Transfer Income",0,
"2000","Auckland Region","Couple only","Median Government Transfer Income",0,
"2001","Auckland Region","Couple only","Median Government Transfer Income",0,
"2002","Auckland Region","Couple only","Median Government Transfer Income",0,
"2003","Auckland Region","Couple only","Median Government Transfer Income",0,
"2004","Auckland Region","Couple only","Median Government Transfer Income",0,
"2005","Auckland Region","Couple only","Median Government Transfer Income",0,
"2006","Auckland Region","Couple only","Median Government Transfer Income",0,
"2007","Auckland Region","Couple only","Median Government Transfer Income",0,
"2008","Auckland Region","Couple only","Median Government Transfer Income",0,
"2009","Auckland Region","Couple only","Median Government Transfer Income",0,
"2010","Auckland Region","Couple only","Median Government Transfer Income",0,
"2011","Auckland Region","Couple only","Median Government Transfer Income",0,
"2012","Auckland Region","Couple only","Median Government Transfer Income",0,
"2013","Auckland Region","Couple only","Median Government Transfer Income",0,
"2014","Auckland Region","Couple only","Median Government Transfer Income",0,
"2015","Auckland Region","Couple only","Median Government Transfer Income",0,
"2016","Auckland Region","Couple only","Median Government Transfer Income",0,
"2017","Auckland Region","Couple only","Median Government Transfer Income",0,
"2018","Auckland Region","Couple only","Median Government Transfer Income",0,
"1998","Auckland Region","Couple only","Number of households (000)",76.6,
"1999","Auckland Region","Couple only","Number of households (000)",84.6,
"2000","Auckland Region","Couple only","Number of households (000)",77.8,
"2001","Auckland Region","Couple only","Number of households (000)",77.2,
"2002","Auckland Region","Couple only","Number of households (000)",83.5,
"2003","Auckland Region","Couple only","Number of households (000)",83.1,
"2004","Auckland Region","Couple only","Number of households (000)",84.3,
"2005","Auckland Region","Couple only","Number of households (000)",85.8,
"2006","Auckland Region","Couple only","Number of households (000)",85.3,
"2007","Auckland Region","Couple only","Number of households (000)",98.5,
"2008","Auckland Region","Couple only","Number of households (000)",105.7,
"2009","Auckland Region","Couple only","Number of households (000)",100.5,
"2010","Auckland Region","Couple only","Number of households (000)",94.1,
"2011","Auckland Region","Couple only","Number of households (000)",85.1,
"2012","Auckland Region","Couple only","Number of households (000)",89.6,
"2013","Auckland Region","Couple only","Number of households (000)",98,
"2014","Auckland Region","Couple only","Number of households (000)",90.4,
"2015","Auckland Region","Couple only","Number of households (000)",90.8,
"2016","Auckland Region","Couple only","Number of households (000)",94.1,
"2017","Auckland Region","Couple only","Number of households (000)",96.6,
"2018","Auckland Region","Couple only","Number of households (000)",98.5,
"1998","Waikato Region","Couple only","Median Wage and Salary Income",510,
"1999","Waikato Region","Couple only","Median Wage and Salary Income",540,
"2000","Waikato Region","Couple only","Median Wage and Salary Income",576,
"2001","Waikato Region","Couple only","Median Wage and Salary Income",570,
"2002","Waikato Region","Couple only","Median Wage and Salary Income",612,
"2003","Waikato Region","Couple only","Median Wage and Salary Income",800,
"2004","Waikato Region","Couple only","Median Wage and Salary Income",720,
"2005","Waikato Region","Couple only","Median Wage and Salary Income",827,
"2006","Waikato Region","Couple only","Median Wage and Salary Income",747,
"2007","Waikato Region","Couple only","Median Wage and Salary Income",1000,
"2008","Waikato Region","Couple only","Median Wage and Salary Income",930,
"2009","Waikato Region","Couple only","Median Wage and Salary Income",944,
"2010","Waikato Region","Couple only","Median Wage and Salary Income",1058,
"2011","Waikato Region","Couple only","Median Wage and Salary Income",1080,
"2012","Waikato Region","Couple only","Median Wage and Salary Income",1151,
"2013","Waikato Region","Couple only","Median Wage and Salary Income",1170,
"2014","Waikato Region","Couple only","Median Wage and Salary Income",1135,
"2015","Waikato Region","Couple only","Median Wage and Salary Income",1340,
"2016","Waikato Region","Couple only","Median Wage and Salary Income",1340,
"2017","Waikato Region","Couple only","Median Wage and Salary Income",1325,
"2018","Waikato Region","Couple only","Median Wage and Salary Income",1450,
"1998","Waikato Region","Couple only","Median Self-employment Income",0,
"1999","Waikato Region","Couple only","Median Self-employment Income",0,
"2000","Waikato Region","Couple only","Median Self-employment Income",0,
"2001","Waikato Region","Couple only","Median Self-employment Income",0,
"2002","Waikato Region","Couple only","Median Self-employment Income",0,
"2003","Waikato Region","Couple only","Median Self-employment Income",0,
"2004","Waikato Region","Couple only","Median Self-employment Income",0,
"2005","Waikato Region","Couple only","Median Self-employment Income",0,
"2006","Waikato Region","Couple only","Median Self-employment Income",0,
"2007","Waikato Region","Couple only","Median Self-employment Income",0,
"2008","Waikato Region","Couple only","Median Self-employment Income",0,
"2009","Waikato Region","Couple only","Median Self-employment Income",0,
"2010","Waikato Region","Couple only","Median Self-employment Income",0,
"2011","Waikato Region","Couple only","Median Self-employment Income",0,
"2012","Waikato Region","Couple only","Median Self-employment Income",0,
"2013","Waikato Region","Couple only","Median Self-employment Income",0,
"2014","Waikato Region","Couple only","Median Self-employment Income",0,
"2015","Waikato Region","Couple only","Median Self-employment Income",0,
"2016","Waikato Region","Couple only","Median Self-employment Income",0,
"2017","Waikato Region","Couple only","Median Self-employment Income",0,
"2018","Waikato Region","Couple only","Median Self-employment Income",0,
"1998","Waikato Region","Couple only","Median Government Transfer Income",0,
"1999","Waikato Region","Couple only","Median Government Transfer Income",0,
"2000","Waikato Region","Couple only","Median Government Transfer Income",0,
"2001","Waikato Region","Couple only","Median Government Transfer Income",0,
"2002","Waikato Region","Couple only","Median Government Transfer Income",0,
"2003","Waikato Region","Couple only","Median Government Transfer Income",0,
"2004","Waikato Region","Couple only","Median Government Transfer Income",0,
"2005","Waikato Region","Couple only","Median Government Transfer Income",0,
"2006","Waikato Region","Couple only","Median Government Transfer Income",0,
"2007","Waikato Region","Couple only","Median Government Transfer Income",0,
"2008","Waikato Region","Couple only","Median Government Transfer Income",0,
"2009","Waikato Region","Couple only","Median Government Transfer Income",0,
"2010","Waikato Region","Couple only","Median Government Transfer Income",0,
"2011","Waikato Region","Couple only","Median Government Transfer Income",0,
"2012","Waikato Region","Couple only","Median Government Transfer Income",0,
"2013","Waikato Region","Couple only","Median Government Transfer Income",0,
"2014","Waikato Region","Couple only","Median Government Transfer Income",0,
"2015","Waikato Region","Couple only","Median Government Transfer Income",0,
"2016","Waikato Region","Couple only","Median Government Transfer Income",0,
"2017","Waikato Region","Couple only","Median Government Transfer Income",0,
"2018","Waikato Region","Couple only","Median Government Transfer Income",0,
"1998","Waikato Region","Couple only","Number of households (000)",27.2,
"1999","Waikato Region","Couple only","Number of households (000)",26.8,
"2000","Waikato Region","Couple only","Number of households (000)",31.6,
"2001","Waikato Region","Couple only","Number of households (000)",27.6,
"2002","Waikato Region","Couple only","Number of households (000)",28.2,
"2003","Waikato Region","Couple only","Number of households (000)",32.4,
"2004","Waikato Region","Couple only","Number of households (000)",33,
"2005","Waikato Region","Couple only","Number of households (000)",33.1,
"2006","Waikato Region","Couple only","Number of households (000)",30.3,
"2007","Waikato Region","Couple only","Number of households (000)",30.8,
"2008","Waikato Region","Couple only","Number of households (000)",31.3,
"2009","Waikato Region","Couple only","Number of households (000)",32.9,
"2010","Waikato Region","Couple only","Number of households (000)",33.1,
"2011","Waikato Region","Couple only","Number of households (000)",30.2,
"2012","Waikato Region","Couple only","Number of households (000)",32.7,
"2013","Waikato Region","Couple only","Number of households (000)",35.4,
"2014","Waikato Region","Couple only","Number of households (000)",34.5,
"2015","Waikato Region","Couple only","Number of households (000)",38.9,
"2016","Waikato Region","Couple only","Number of households (000)",34.1,
"2017","Waikato Region","Couple only","Number of households (000)",33,
"2018","Waikato Region","Couple only","Number of households (000)",30.7,
"1998","Bay of Plenty Region","Couple only","Median Wage and Salary Income",390,
"1999","Bay of Plenty Region","Couple only","Median Wage and Salary Income",374,
"2000","Bay of Plenty Region","Couple only","Median Wage and Salary Income",400,
"2001","Bay of Plenty Region","Couple only","Median Wage and Salary Income",403,
"2002","Bay of Plenty Region","Couple only","Median Wage and Salary Income",540,
"2003","Bay of Plenty Region","Couple only","Median Wage and Salary Income",660,
"2004","Bay of Plenty Region","Couple only","Median Wage and Salary Income",561,
"2005","Bay of Plenty Region","Couple only","Median Wage and Salary Income",600,
"2006","Bay of Plenty Region","Couple only","Median Wage and Salary Income",680,
"2007","Bay of Plenty Region","Couple only","Median Wage and Salary Income",905,
"2008","Bay of Plenty Region","Couple only","Median Wage and Salary Income",959,
"2009","Bay of Plenty Region","Couple only","Median Wage and Salary Income",860,
"2010","Bay of Plenty Region","Couple only","Median Wage and Salary Income",1036,
"2011","Bay of Plenty Region","Couple only","Median Wage and Salary Income",1093,
"2012","Bay of Plenty Region","Couple only","Median Wage and Salary Income",997,
"2013","Bay of Plenty Region","Couple only","Median Wage and Salary Income",981,
"2014","Bay of Plenty Region","Couple only","Median Wage and Salary Income",1000,
"2015","Bay of Plenty Region","Couple only","Median Wage and Salary Income",1208,
"2016","Bay of Plenty Region","Couple only","Median Wage and Salary Income",940,
"2017","Bay of Plenty Region","Couple only","Median Wage and Salary Income",969,
"2018","Bay of Plenty Region","Couple only","Median Wage and Salary Income",1291,
"1998","Bay of Plenty Region","Couple only","Median Self-employment Income",0,
"1999","Bay of Plenty Region","Couple only","Median Self-employment Income",0,
"2000","Bay of Plenty Region","Couple only","Median Self-employment Income",0,
"2001","Bay of Plenty Region","Couple only","Median Self-employment Income",0,
"2002","Bay of Plenty Region","Couple only","Median Self-employment Income",0,
"2003","Bay of Plenty Region","Couple only","Median Self-employment Income",0,
"2004","Bay of Plenty Region","Couple only","Median Self-employment Income",0,
"2005","Bay of Plenty Region","Couple only","Median Self-employment Income",0,
"2006","Bay of Plenty Region","Couple only","Median Self-employment Income",0,
"2007","Bay of Plenty Region","Couple only","Median Self-employment Income",0,
"2008","Bay of Plenty Region","Couple only","Median Self-employment Income",0,
"2009","Bay of Plenty Region","Couple only","Median Self-employment Income",0,
"2010","Bay of Plenty Region","Couple only","Median Self-employment Income",0,
"2011","Bay of Plenty Region","Couple only","Median Self-employment Income",0,
"2012","Bay of Plenty Region","Couple only","Median Self-employment Income",0,
"2013","Bay of Plenty Region","Couple only","Median Self-employment Income",0,
"2014","Bay of Plenty Region","Couple only","Median Self-employment Income",0,
"2015","Bay of Plenty Region","Couple only","Median Self-employment Income",0,
"2016","Bay of Plenty Region","Couple only","Median Self-employment Income",0,
"2017","Bay of Plenty Region","Couple only","Median Self-employment Income",0,
"2018","Bay of Plenty Region","Couple only","Median Self-employment Income",0,
"1998","Bay of Plenty Region","Couple only","Median Government Transfer Income",0,
"1999","Bay of Plenty Region","Couple only","Median Government Transfer Income",0,
"2000","Bay of Plenty Region","Couple only","Median Government Transfer Income",0,
"2001","Bay of Plenty Region","Couple only","Median Government Transfer Income",0,
"2002","Bay of Plenty Region","Couple only","Median Government Transfer Income",0,
"2003","Bay of Plenty Region","Couple only","Median Government Transfer Income",0,
"2004","Bay of Plenty Region","Couple only","Median Government Transfer Income",0,
"2005","Bay of Plenty Region","Couple only","Median Government Transfer Income",0,
"2006","Bay of Plenty Region","Couple only","Median Government Transfer Income",0,
"2007","Bay of Plenty Region","Couple only","Median Government Transfer Income",0,
"2008","Bay of Plenty Region","Couple only","Median Government Transfer Income",0,
"2009","Bay of Plenty Region","Couple only","Median Government Transfer Income",0,
"2010","Bay of Plenty Region","Couple only","Median Government Transfer Income",0,
"2011","Bay of Plenty Region","Couple only","Median Government Transfer Income",0,
"2012","Bay of Plenty Region","Couple only","Median Government Transfer Income",0,
"2013","Bay of Plenty Region","Couple only","Median Government Transfer Income",0,
"2014","Bay of Plenty Region","Couple only","Median Government Transfer Income",0,
"2015","Bay of Plenty Region","Couple only","Median Government Transfer Income",0,
"2016","Bay of Plenty Region","Couple only","Median Government Transfer Income",0,
"2017","Bay of Plenty Region","Couple only","Median Government Transfer Income",0,
"2018","Bay of Plenty Region","Couple only","Median Government Transfer Income",0,
"1998","Bay of Plenty Region","Couple only","Number of households (000)",20.1,
"1999","Bay of Plenty Region","Couple only","Number of households (000)",16.9,
"2000","Bay of Plenty Region","Couple only","Number of households (000)",21.4,
"2001","Bay of Plenty Region","Couple only","Number of households (000)",20.6,
"2002","Bay of Plenty Region","Couple only","Number of households (000)",20.8,
"2003","Bay of Plenty Region","Couple only","Number of households (000)",21.4,
"2004","Bay of Plenty Region","Couple only","Number of households (000)",21,
"2005","Bay of Plenty Region","Couple only","Number of households (000)",23.5,
"2006","Bay of Plenty Region","Couple only","Number of households (000)",23.4,
"2007","Bay of Plenty Region","Couple only","Number of households (000)",22.6,
"2008","Bay of Plenty Region","Couple only","Number of households (000)",22.2,
"2009","Bay of Plenty Region","Couple only","Number of households (000)",20.3,
"2010","Bay of Plenty Region","Couple only","Number of households (000)",21.4,
"2011","Bay of Plenty Region","Couple only","Number of households (000)",19.6,
"2012","Bay of Plenty Region","Couple only","Number of households (000)",18.8,
"2013","Bay of Plenty Region","Couple only","Number of households (000)",20.9,
"2014","Bay of Plenty Region","Couple only","Number of households (000)",20.9,
"2015","Bay of Plenty Region","Couple only","Number of households (000)",21.9,
"2016","Bay of Plenty Region","Couple only","Number of households (000)",22.9,
"2017","Bay of Plenty Region","Couple only","Number of households (000)",22.3,
"2018","Bay of Plenty Region","Couple only","Number of households (000)",21.5,
"1998","Gisborne/Hawkes Bay Regions","Couple only","Median Wage and Salary Income",539,
"1999","Gisborne/Hawkes Bay Regions","Couple only","Median Wage and Salary Income",575,
"2000","Gisborne/Hawkes Bay Regions","Couple only","Median Wage and Salary Income",512,
"2001","Gisborne/Hawkes Bay Regions","Couple only","Median Wage and Salary Income",720,
"2002","Gisborne/Hawkes Bay Regions","Couple only","Median Wage and Salary Income",575,
"2003","Gisborne/Hawkes Bay Regions","Couple only","Median Wage and Salary Income",670,
"2004","Gisborne/Hawkes Bay Regions","Couple only","Median Wage and Salary Income",905,
"2005","Gisborne/Hawkes Bay Regions","Couple only","Median Wage and Salary Income",921,
"2006","Gisborne/Hawkes Bay Regions","Couple only","Median Wage and Salary Income",850,
"2007","Gisborne/Hawkes Bay Regions","Couple only","Median Wage and Salary Income",850,
"2008","Gisborne/Hawkes Bay Regions","Couple only","Median Wage and Salary Income",1066,
"2009","Gisborne/Hawkes Bay Regions","Couple only","Median Wage and Salary Income",1080,
"2010","Gisborne/Hawkes Bay Regions","Couple only","Median Wage and Salary Income",1014,
"2011","Gisborne/Hawkes Bay Regions","Couple only","Median Wage and Salary Income",1199,
"2012","Gisborne/Hawkes Bay Regions","Couple only","Median Wage and Salary Income",1120,
"2013","Gisborne/Hawkes Bay Regions","Couple only","Median Wage and Salary Income",1135,
"2014","Gisborne/Hawkes Bay Regions","Couple only","Median Wage and Salary Income",1055,
"2015","Gisborne/Hawkes Bay Regions","Couple only","Median Wage and Salary Income",1210,
"2016","Gisborne/Hawkes Bay Regions","Couple only","Median Wage and Salary Income",1062,
"2017","Gisborne/Hawkes Bay Regions","Couple only","Median Wage and Salary Income",1151,
"2018","Gisborne/Hawkes Bay Regions","Couple only","Median Wage and Salary Income",1285,
"1998","Gisborne/Hawkes Bay Regions","Couple only","Median Self-employment Income",0,
"1999","Gisborne/Hawkes Bay Regions","Couple only","Median Self-employment Income",0,
"2000","Gisborne/Hawkes Bay Regions","Couple only","Median Self-employment Income",0,
"2001","Gisborne/Hawkes Bay Regions","Couple only","Median Self-employment Income",0,
"2002","Gisborne/Hawkes Bay Regions","Couple only","Median Self-employment Income",0,
"2003","Gisborne/Hawkes Bay Regions","Couple only","Median Self-employment Income",0,
"2004","Gisborne/Hawkes Bay Regions","Couple only","Median Self-employment Income",0,
"2005","Gisborne/Hawkes Bay Regions","Couple only","Median Self-employment Income",0,
"2006","Gisborne/Hawkes Bay Regions","Couple only","Median Self-employment Income",0,
